#{"t_start": 1747140063.5883043, "env_id": "None"}
r,l,t
194.330215,10,2018.211477
398.388062,10,2021.189689
711.976059,10,2023.77346
206.054398,10,2026.350059
221.872131,10,2029.520114
357.681076,10,2032.181754
519.798744,10,2035.278627
496.632996,10,2038.134454
536.895218,10,2040.833484
447.504669,10,2045.052199
308.587044,10,2047.878043
584.766693,10,2049.242836
358.032669,10,2051.98312
512.330872,10,2054.411891
253.669907,10,2057.477438
485.041306,10,2059.625806
525.948639,10,2062.404922
405.720551,10,2065.556094
402.747063,10,2068.833709
850.739754,10,2071.246591
824.371948,10,2074.232863
653.789215,10,2077.225078
757.44566,10,2080.465895
894.48267,10,2083.545234
710.444641,10,2086.928764
757.772583,10,2090.272227
916.420753,10,2093.197509
942.097458,10,2095.227622
581.287582,10,2098.314949
1052.778763,10,2099.542819
856.946114,10,2103.181806
567.322369,10,2106.085634
1071.626968,10,2107.864992
1103.072372,10,2110.484468
660.711571,10,2113.454134
766.361851,10,2116.476567
1079.502914,10,2118.777781
621.897575,10,2121.11694
700.555618,10,2124.055458
692.014297,10,2126.63093
1055.924202,10,2128.610337
165.147339,10,2131.607118
770.560474,10,2133.652149
-226.4557,10,2135.606649
418.984619,10,2138.605703
732.007988,10,2141.898671
245.13752,10,2145.188719
473.258747,10,2147.168856
434.310425,10,2149.610709
-19.978256,10,2150.154316
503.981697,10,2152.937207
401.806168,10,2155.825951
264.369064,10,2158.298141
585.876465,10,2161.146385
609.834213,10,2163.742775
298.949646,10,2166.072498
570.709198,10,2168.704114
484.962418,10,2171.344833
874.673065,10,2173.468502
302.899757,10,2174.904189
257.970337,10,2177.66674
621.585114,10,2180.072443
135.295227,10,2182.768983
613.048935,10,2185.172496
-3.385162,10,2185.824887
333.610443,10,2188.602588
286.942657,10,2191.268528
338.641357,10,2193.641814
450.552765,10,2196.202434
319.475613,10,2198.906172
454.17001,10,2199.907681
6.881859,10,2202.448662
622.259811,10,2205.350256
178.689148,10,2207.614035
418.089447,10,2210.327713
270.333145,10,2212.996615
600.078354,10,2213.620442
673.653992,10,2216.225992
419.246735,10,2219.06373
601.472183,10,2221.253905
432.185738,10,2224.068447
921.646881,10,2224.579418
253.479309,10,2227.205057
520.089211,10,2230.0438
672.016335,10,2232.342425
728.991989,10,2234.828329
504.429512,10,2235.534235
489.978271,10,2238.039621
480.898651,10,2240.374651
671.054962,10,2243.121877
529.371674,10,2245.93354
278.211594,10,2246.772032
708.602386,10,2249.042067
810.570343,10,2251.919808
675.860054,10,2254.103979
442.662331,10,2256.808235
561.520081,10,2258.234953
390.173691,10,2260.386391
625.242294,10,2262.987281
575.8927,10,2265.897871
430.660904,10,2268.292648
339.189804,10,2269.357927
118.875626,10,2273.250201
481.549072,10,2275.179365
-5.840988,10,2278.282372
928.613586,10,2280.908039
199.25264,10,2283.14923
657.845543,10,2288.056617
369.950218,10,2289.134934
643.052231,10,2291.68277
436.778633,10,2294.543992
