#{"t_start": 1746954317.2411087, "env_id": "None"}
r,l,t
0.0,10,28282.71413
0.0,10,28283.079726
0.0,10,28283.549229
0.0,10,28283.900756
0.0,10,28284.279305
0.0,10,28284.635583
0.0,10,28284.984665
0.0,10,28285.348954
0.0,10,28285.905063
0.0,10,28286.280578
0.0,10,28286.733168
0.0,10,28287.191374
0.0,10,28287.78186
0.0,10,28288.505012
0.0,10,28289.345415
0.0,10,28289.679442
0.0,10,28290.167305
0.0,10,28290.498555
0.0,10,28290.943002
0.0,10,28291.260872
0.0,10,28291.576879
0.0,10,28291.978235
0.0,10,28292.320485
0.0,10,28292.649764
0.0,10,28293.055567
0.0,10,28293.363611
0.0,10,28293.702448
0.0,10,28294.033038
0.0,10,28294.533669
0.0,10,28295.078611
0.0,10,28295.461896
0.0,10,28295.813553
0.0,10,28296.175092
0.0,10,28296.633466
0.0,10,28296.999491
0.0,10,28297.430992
0.0,10,28297.749223
0.0,10,28298.054588
0.0,10,28298.520173
0.0,10,28298.91968
0.0,10,28299.312932
0.0,10,28299.737762
0.0,10,28300.114018
0.0,10,28301.161045
0.0,10,28302.472196
0.0,10,28302.987183
0.0,10,28303.455663
0.0,10,28303.797244
0.0,10,28304.207513
0.0,10,28304.563976
0.0,10,28304.905161
0.0,10,28305.323668
0.0,10,28305.847011
0.0,10,28306.258976
0.0,10,28306.634491
0.0,10,28306.977986
0.0,10,28307.411509
0.0,10,28307.786722
0.0,10,28308.115645
0.0,10,28308.523741
0.0,10,28308.981814
0.0,10,28309.308084
0.0,10,28309.840338
0.0,10,28310.184483
0.0,10,28310.721463
0.0,10,28311.040025
0.0,10,28311.355387
0.0,10,28311.757596
0.0,10,28312.108013
0.0,10,28312.466977
0.0,10,28313.010298
0.0,10,28313.461795
0.0,10,28313.882308
0.0,10,28314.20748
0.0,10,28314.666031
0.0,10,28315.116932
0.0,10,28315.425572
0.0,10,28315.804797
0.0,10,28316.273959
0.0,10,28316.654631
0.0,10,28317.128597
0.0,10,28317.452976
0.0,10,28317.784774
0.0,10,28318.306251
0.0,10,28318.628576
0.0,10,28319.033874
0.0,10,28319.435424
0.0,10,28319.770815
0.0,10,28320.120543
0.0,10,28320.558232
0.0,10,28320.898819
0.0,10,28321.222711
0.0,10,28321.6148
0.0,10,28321.960748
0.0,10,28322.298234
0.0,10,28322.751827
0.0,10,28323.120578
0.0,10,28323.960236
0.0,10,28324.351257
0.0,10,28324.787081
0.0,10,28325.645818
0.0,10,28326.101395
0.0,10,28326.429286
0.0,10,28326.751423
0.0,10,28327.276611
0.0,10,28327.585288
0.0,10,28327.895391
0.0,10,28328.293702
0.0,10,28328.608503
0.0,10,28328.95343
0.0,10,28329.443604
0.0,10,28329.798557
0.0,10,28330.256601
0.0,10,28330.74972
0.0,10,28331.127744
0.0,10,28331.558138
0.0,10,28331.870635
0.0,10,28332.352722
0.0,10,28332.818075
0.0,10,28333.138242
0.0,10,28333.647602
0.0,10,28334.796166
0.0,10,28335.167315
0.0,10,28335.484286
0.0,10,28336.178525
0.0,10,28336.568361
0.0,10,28337.018553
0.0,10,28337.449529
0.0,10,28337.877518
0.0,10,28338.262531
0.0,10,28338.603294
0.0,10,28339.023159
0.0,10,28339.334912
0.0,10,28339.739732
0.0,10,28340.275429
0.0,10,28340.593461
0.0,10,28340.910387
0.0,10,28341.411541
0.0,10,28341.901949
0.0,10,28342.334725
0.0,10,28342.685219
0.0,10,28343.014808
0.0,10,28343.455777
0.0,10,28343.892823
0.0,10,28344.310022
0.0,10,28344.732213
0.0,10,28345.040785
0.0,10,28345.356905
0.0,10,28345.877723
0.0,10,28346.169629
0.0,10,28346.584523
0.0,10,28346.92697
0.0,10,28347.259834
0.0,10,28347.698615
0.0,10,28348.032141
0.0,10,28348.414834
0.0,10,28348.895955
0.0,10,28349.256499
0.0,10,28349.609221
0.0,10,28350.03372
0.0,10,28350.454726
0.0,10,28351.016006
0.0,10,28351.331063
0.0,10,28351.632742
0.0,10,28352.025101
0.0,10,28352.417921
0.0,10,28352.787262
0.0,10,28353.287047
0.0,10,28353.562965
0.0,10,28353.843599
0.0,10,28354.256342
0.0,10,28354.549448
0.0,10,28355.049965
0.0,10,28355.477742
0.0,10,28355.780882
0.0,10,28356.114346
0.0,10,28356.57195
0.0,10,28356.860379
0.0,10,28357.235705
0.0,10,28357.650954
0.0,10,28357.963145
0.0,10,28358.342046
0.0,10,28359.772715
0.0,10,28360.079261
0.0,10,28360.411037
0.0,10,28360.871679
0.0,10,28361.341016
0.0,10,28361.654347
0.0,10,28362.045332
0.0,10,28363.328216
0.0,10,28363.791461
0.0,10,28364.52069
0.0,10,28365.802553
0.0,10,28366.115483
0.0,10,28366.60505
0.0,10,28367.097648
0.0,10,28367.565462
0.0,10,28367.913089
0.0,10,28368.73068
0.0,10,28369.223725
0.0,10,28369.792842
0.0,10,28370.138599
0.0,10,28370.667708
0.0,10,28371.039353
0.0,10,28371.358728
0.0,10,28371.803496
0.0,10,28372.122656
0.0,10,28372.491257
0.0,10,28372.981674
0.0,10,28373.405755
0.0,10,28373.764114
0.0,10,28374.373513
0.0,10,28374.726278
0.0,10,28375.180956
0.0,10,28375.535737
0.0,10,28375.869831
0.0,10,28376.319793
0.0,10,28376.630247
0.0,10,28377.011451
0.0,10,28377.538673
0.0,10,28377.947628
0.0,10,28378.849781
0.0,10,28379.266011
0.0,10,28379.830122
0.0,10,28380.312146
0.0,10,28381.29754
0.0,10,28381.974936
0.0,10,28382.294633
0.0,10,28382.748755
0.0,10,28383.132064
0.0,10,28383.432964
0.0,10,28383.852995
0.0,10,28384.15897
0.0,10,28384.453679
0.0,10,28384.909758
0.0,10,28385.367569
0.0,10,28385.807678
0.0,10,28386.826586
0.0,10,28387.649659
0.0,10,28388.261169
0.0,10,28388.533448
0.0,10,28388.826477
0.0,10,28389.375155
0.0,10,28389.681491
0.0,10,28390.002649
0.0,10,28390.494386
0.0,10,28390.918666
0.0,10,28391.254626
0.0,10,28391.638632
0.0,10,28391.986282
0.0,10,28392.33496
0.0,10,28392.765125
0.0,10,28393.13566
0.0,10,28393.504394
0.0,10,28393.92252
0.0,10,28394.296072
0.0,10,28394.59991
0.0,10,28395.429266
0.0,10,28395.858026
0.0,10,28396.217633
0.0,10,28396.56163
0.0,10,28397.050344
0.0,10,28397.433221
0.0,10,28397.72938
0.0,10,28398.328524
0.0,10,28398.651148
0.0,10,28398.961165
0.0,10,28399.566556
0.0,10,28399.936263
0.0,10,28400.790622
0.0,10,28402.247378
0.0,10,28402.852892
0.0,10,28403.194678
0.0,10,28403.755424
0.0,10,28404.05459
0.0,10,28404.380504
0.0,10,28404.962687
0.0,10,28405.266057
0.0,10,28405.55267
0.0,10,28405.983426
0.0,10,28406.380514
0.0,10,28407.729151
0.0,10,28408.156281
0.0,10,28408.712472
0.0,10,28410.081361
0.0,10,28410.449513
0.0,10,28410.770123
0.0,10,28411.156154
0.0,10,28411.491191
0.0,10,28411.984363
0.0,10,28412.726381
0.0,10,28413.835773
0.0,10,28414.200115
0.0,10,28414.652575
0.0,10,28415.019964
0.0,10,28415.702641
0.0,10,28416.04677
0.0,10,28417.034506
0.0,10,28417.3672
0.0,10,28417.795056
0.0,10,28418.185839
0.0,10,28418.548142
0.0,10,28418.993328
0.0,10,28419.385841
0.0,10,28420.034856
0.0,10,28420.392927
0.0,10,28420.839648
0.0,10,28421.294341
0.0,10,28421.647962
0.0,10,28422.101924
0.0,10,28422.463088
0.0,10,28422.922184
0.0,10,28423.443463
0.0,10,28424.279137
0.0,10,28424.830273
0.0,10,28425.17715
0.0,10,28425.819404
0.0,10,28426.12853
0.0,10,28426.628184
0.0,10,28427.073573
0.0,10,28427.498788
0.0,10,28427.929213
0.0,10,28428.323576
0.0,10,28429.297546
0.0,10,28430.087308
0.0,10,28430.528599
0.0,10,28430.998634
0.0,10,28431.399593
0.0,10,28432.131916
0.0,10,28432.547394
0.0,10,28433.188612
0.0,10,28433.649522
0.0,10,28433.971795
0.0,10,28434.380468
0.0,10,28434.758161
0.0,10,28435.460926
0.0,10,28435.975001
0.0,10,28436.51967
0.0,10,28437.013074
0.0,10,28437.438243
0.0,10,28437.804644
0.0,10,28438.290736
0.0,10,28438.724599
0.0,10,28439.057997
0.0,10,28439.416675
0.0,10,28439.870619
0.0,10,28440.804367
0.0,10,28441.090537
0.0,10,28441.382387
0.0,10,28441.942697
0.0,10,28442.25681
0.0,10,28442.533875
0.0,10,28442.919333
0.0,10,28443.265273
0.0,10,28444.234913
0.0,10,28444.548544
0.0,10,28444.896237
0.0,10,28445.455858
0.0,10,28445.776263
0.0,10,28446.197003
0.0,10,28446.513514
0.0,10,28446.827821
0.0,10,28447.441857
0.0,10,28447.832508
0.0,10,28448.198337
0.0,10,28448.799805
0.0,10,28449.163487
0.0,10,28449.579555
0.0,10,28449.885826
0.0,10,28450.613672
0.0,10,28450.917802
0.0,10,28451.327672
0.0,10,28451.769077
0.0,10,28452.314431
0.0,10,28453.343077
0.0,10,28453.643594
0.0,10,28454.026531
0.0,10,28454.424041
0.0,10,28454.739728
0.0,10,28455.138373
0.0,10,28455.468748
0.0,10,28456.044049
0.0,10,28456.866621
0.0,10,28457.347806
0.0,10,28457.690753
0.0,10,28457.99295
0.0,10,28458.418735
0.0,10,28458.709203
0.0,10,28459.015763
0.0,10,28459.973868
0.0,10,28460.443803
0.0,10,28460.746505
0.0,10,28461.045094
0.0,10,28461.496023
0.0,10,28462.319073
0.0,10,28462.74684
0.0,10,28463.066913
0.0,10,28463.351699
0.0,10,28463.757482
0.0,10,28464.184815
0.0,10,28464.533826
0.0,10,28464.954663
0.0,10,28465.287464
0.0,10,28465.780243
0.0,10,28466.119359
0.0,10,28466.457488
0.0,10,28467.020508
0.0,10,28467.369862
0.0,10,28467.731199
0.0,10,28468.190977
0.0,10,28468.504313
0.0,10,28469.0663
0.0,10,28469.396329
0.0,10,28469.740579
0.0,10,28470.207696
0.0,10,28470.506864
0.0,10,28470.874876
0.0,10,28471.280617
0.0,10,28471.575616
0.0,10,28472.002981
0.0,10,28472.578417
0.0,10,28472.898735
0.0,10,28473.206133
0.0,10,28473.59617
0.0,10,28473.946131
0.0,10,28474.25226
0.0,10,28474.684827
0.0,10,28475.048411
0.0,10,28475.352273
0.0,10,28475.778061
0.0,10,28476.357153
0.0,10,28476.854829
0.0,10,28477.503211
0.0,10,28478.171337
0.0,10,28478.501395
0.0,10,28478.983258
0.0,10,28479.510635
0.0,10,28480.313729
0.0,10,28480.71822
0.0,10,28481.245159
0.0,10,28481.552966
0.0,10,28481.851308
0.0,10,28482.477809
0.0,10,28482.794445
0.0,10,28483.264343
0.0,10,28483.72705
0.0,10,28484.148299
0.0,10,28484.622308
0.0,10,28484.948971
0.0,10,28485.432935
0.0,10,28485.779408
0.0,10,28486.161144
0.0,10,28486.544717
0.0,10,28486.875281
0.0,10,28487.248214
0.0,10,28487.717202
0.0,10,28488.102431
0.0,10,28488.422669
0.0,10,28488.830861
0.0,10,28489.2143
0.0,10,28489.535645
0.0,10,28489.94114
0.0,10,28490.912269
0.0,10,28491.335329
0.0,10,28491.738127
0.0,10,28492.147736
0.0,10,28492.468307
0.0,10,28492.759552
0.0,10,28493.207528
0.0,10,28493.558161
0.0,10,28494.007663
0.0,10,28494.482859
0.0,10,28494.967937
0.0,10,28495.428229
0.0,10,28495.785017
0.0,10,28496.130949
0.0,10,28496.628651
0.0,10,28496.958738
0.0,10,28497.472062
0.0,10,28497.810414
0.0,10,28498.1465
0.0,10,28498.62491
0.0,10,28498.931731
0.0,10,28499.354046
0.0,10,28499.838041
0.0,10,28500.135507
0.0,10,28500.450675
0.0,10,28501.102645
0.0,10,28501.434815
0.0,10,28501.911888
0.0,10,28502.2129
0.0,10,28502.539522
0.0,10,28503.021311
0.0,10,28503.32832
0.0,10,28503.677307
0.0,10,28504.07639
0.0,10,28504.384638
0.0,10,28505.070696
0.0,10,28505.408299
0.0,10,28505.77002
0.0,10,28506.210294
0.0,10,28506.588173
0.0,10,28506.994979
0.0,10,28507.388414
0.0,10,28507.691801
0.0,10,28508.017489
0.0,10,28508.431
0.0,10,28508.760418
0.0,10,28509.160989
0.0,10,28509.615249
0.0,10,28509.983382
0.0,10,28510.36297
0.0,10,28510.804322
0.0,10,28511.152544
0.0,10,28511.452435
0.0,10,28511.877296
0.0,10,28512.302516
0.0,10,28512.719778
0.0,10,28513.096928
0.0,10,28513.458554
0.0,10,28513.897015
0.0,10,28514.228443
0.0,10,28514.537078
0.0,10,28515.003691
0.0,10,28515.362128
0.0,10,28515.718069
0.0,10,28516.463889
0.0,10,28516.893722
0.0,10,28517.355404
0.0,10,28517.654773
0.0,10,28517.979352
0.0,10,28518.470802
0.0,10,28518.810147
0.0,10,28519.118999
0.0,10,28519.495876
0.0,10,28519.844694
0.0,10,28520.175591
